"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crocodylia&interval=Cenozoic&show=full"
"Access Time","Fri 2025-07-18 13:05:24 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crocodylia"
"","interval","Cenozoic"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.21"
"Records Found","2242"
"Records Returned","2242"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","altitude_value","altitude_unit","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","cc","protected","direct_ma_value","direct_ma_error","direct_ma_unit","direct_ma_method","max_ma_value","max_ma_error","max_ma_unit","max_ma_method","min_ma_value","min_ma_error","min_ma_unit","min_ma_method","formation","stratgroup","member","stratscale","zone","zone_type","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","size_classes","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","research_group","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"40163","occ","18506","","3113","Crocodylia indet.","unranked clade","38309","","Crocodylia","","unranked clade","36582","Thanetian","","59.24","56","Alroy 2006","2006","18120","Chordata","Reptilia","Crocodylia","","","","","","-74.683334","39.971943","originally entered as ""Crocodylus? sp.""","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","","","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","US","","","","","","","","","","","","","","Vincentown","","","formation","","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine invertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"40167","occ","","","3113","Thoracosaurus basifissus","species","216615","nomen dubium, species not entered","Gavialoidea","","superfamily","96627","Thanetian","","59.24","56","Cook and Ramsdell 1991","1991","140","Chordata","Reptilia","Crocodylia","","","","","","-74.683334","39.971943","","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","","","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","US","","","","","","","","","","","","","","Vincentown","","","formation","","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine invertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"40168","occ","","","3113","Thoracosaurus basitruncatus","species","216614","nomen dubium, species not entered","Gavialoidea","","superfamily","96627","Thanetian","","59.24","56","Cook and Ramsdell 1991","1991","140","Chordata","Reptilia","Crocodylia","","","","","","-74.683334","39.971943","","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","","","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","US","","","","","","","","","","","","","","Vincentown","","","formation","","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine invertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"40169","occ","","","3113","Thoracosaurus neocesariensis","species","184628","","Thoracosaurus neocesariensis","","species","184627","Thanetian","","59.24","56","Cook and Ramsdell 1991","1991","140","Chordata","Reptilia","Crocodylia","Gavialidae","Thoracosaurus","","","","-74.683334","39.971943","","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","","","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","US","","","","","","","","","","","","","","Vincentown","","","formation","","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine invertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"149621","occ","","","13221","Mekosuchus inexpectatus n. gen. n. sp.","species","346455","","Mekosuchus inexpectatus","","species","346455","Holocene","","0.0117","0","Balouet and Buffetaut 1987","1987","4393","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Mekosuchus","","2","specimens","164.956665","-21.336666","MNHN NCP 06 (holotype)","Pindai Cave, Nepoui Peninsula","","Pindaï Caves, Grande Terre","NC","","","stated in text","seconds","","","outcrop","West coast of the Island of Grande Terre. Caves located 400 m from the sea.","gplates","not computable using this model","mid","","","NC","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bone accumulations were found at two sites near lateral exits now filled by unstratified sediment. Bones occurred from the surface to depths of about 1.5 m, where excavation was discontinued. Charcoal obtained at a depth of about 50 cm, in direct association with bones of Sylviornis and other extinct birds, gave a radiocarbon age of 1750 ± 70 years BP (Gif. 6341 [CNRS laboratory at Gif sur Yvette, France], Balouet, 1984a).","The sediments in the main part of the cave consist of phosphates and magnesic clay with several intercalated layers of gypsum (2-10 cm deep) that were deposited during dry periods when the cave was not flooded.","claystone","phosphatic","unlithified","","","","","","","","cave","","The deposits in the main Pindai Cave probably accumulated at the bottom of an underground lake that formerly filled the cave","macrofossils","","","","","","","","body,original carbon","good","","","","","","","","","","","","taxonomic","field collection","MNHN","","","","","","","","vertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"150083","occ","","","13293","Alligator cf. sinensis","species","173237","","Alligator sinensis","","species","173237","Middle Pleistocene","Late Pleistocene","0.774","0.0117","Huang et al. 1988","1988","4412","Chordata","Reptilia","Crocodylia","Alligatoridae","Alligator","","","","111.566666","22.766666","","Xiashan Cave, lower part (Guangdong Province)","","","CN","Guangdong","Luoding","based on nearby landmark","minutes","","","small collection","Xiashan Cave, Xiashan River Valley, at the western side of Dayunwu Mountain, 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n","gplates","not computable using this model","mid","","","CN","","","","","","","","","","","","","","","","","","","","","lower layer","","","","","","","""The sediments of the site belong to cave accumulations...""\nlate middle Pleistocene","See stratigraphic column, Fig. 2","claystone","brown,yellow","unlithified","sandy","Y","","","","","","terrestrial indet.","","cave deposits","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","bulk,field collection","","","","","","","""...this fauna represents a new vertebrate assemblage of late middle Pleistocene in Xijiang River Valley.""\r\nMuseum: Guangdong Luoding bowuguan (Museum of Luoding in Guangdong)","","vertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"150323","occ","","","13346","Crocodylidae indet.","unranked clade","38435","","Crocodylidae","","unranked clade","38435","Lutetian","","48.07","41.03","Holman and Case 1988","1988","688","Chordata","Reptilia","Crocodylia","Crocodylidae","","","62","specimens","-86.519997","31.366667","all teeth","Point A Dam Site","","Point ""A"" Dam Site, Conecuh River","US","Alabama","Covington","based on nearby landmark","minutes","","","outcrop","River Falls Quadrangle Topographic Sheet, 7.5 minute series, Covington County, Alabama, approximately NW 1/4, SW 1/4, Sec. 35, T5N, R15E, about 123-182 m south of the McWilliams Power Plant at the Dam, 1.6 km west of the town of Andalusia.","gplates","109","mid","-66.78","34.74","US","","","","","","","","","","","","","","Tallahatta","Claiborne","","formation","","","","","","","","","","","Original stratigraphy: ""The exposure situated below the Point ""A"" Dam is in the upper unit of the Tallahatta Formation, which in turn underlies the lowermost member of the Lisbon Formation..."" Lat long is for the Point A Dam.\r\n\r\nLater placed in the lowermost Lisbon Formation by Clayton et al., 2013.","""The formation consists primarily of sand, sandstone, clay, and claystone, ranging in thickness from 20 to 40 m at the outcropping.""","sandstone","","poorly lithified","sandy","","claystone","","poorly lithified","","","estuary/bay","","""The formation consists primarily of sand, sandstone, clay, and claystone, ranging in thickness from 20 to 40 m at the outcropping."" \r\n\r\n\r\n","macrofossils","","","","","","","","body,charcoalification","","","","","","","","","occasional","","","Paleoenvironment is interpreted as tidal, riverine along a tropical coastline. Fossils of marine fishes and freshwater turtles occur together. The boid snake may be derived from an adjacent terrestrial habitat.","taxonomic","field collection","","some macrofossils","","","","","Turtles, snakes, croc (and a charred pine knot possibly used as a ""stomach stone"") are described herein; at least 21 fish taxa are noted and were in the proccess of being described at the time of this publication.","","vertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"150901","occ","","","13456","Gavialis sp.","genus","38415","","Gavialis","","genus","38415","Late Pleistocene","Holocene","0.129","0","Sastry et al. 1976","1976","6077","Chordata","Reptilia","Crocodylia","Gavialidae","Gavialis","","","","87.000000","23.500000","","Bankura","","","IN","West Bengal","Bankura District","estimated from map","minutes","","","basin","Geologic and paleontologic reconnaissance of Pleistocene River terraces for a set of basins in western India","gplates","not computable using this model","mid","","","IN","","","","","","","","","","","","","","Babladanga","","","formation","","","","","","","","","","","Babladanga Formation proper is comprised of conglomerate and silty sandstone members, overlain by a claiche paleosol that cannibalizes the upper portion of the sandstone member.","","sandstone","","poorly lithified","silty,calcareous","Y","conglomerate","","lithified","","","fluvial indet.","","","macrofossils","","","","","","","","","","","","","","","","","","","","","","surface (float),surface (in situ),field collection","","some macrofossils","","","","","","","vertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"168759","occ","","","15458","Borealosuchus sp.","genus","110899","","Borealosuchus","","genus","110899","Wasatchian","","54.9","50.5","Strait 2001","2001","7530","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Borealosuchus","","","","-107.572304","43.952400","see Holroyd et al. 2001","Castle Gardens","","UCMP V-99019; UCMP V99019; USGS D2018","US","Wyoming","Washakie","based on nearby landmark","4","","","outcrop","SE of Worland in SW 1/4, sec 18, T46N, R89W","gplates","101","mid","-79.64","51.58","US","FED","","","","","","","","","","","","","Willwood","","","group of beds","Wa-0","","ElkCr","15","m","bottom to top","","","","","""ca. 10 meter thick layer""\nsaid to be a Wa0 fauna and in the general area of the Elk Creek section, but exact level unclear\nsaid to be ""< 30 m"" in the southern Bighorn Basin section by Holroyd et al. 2001; 15 m level is arbitrary","""light gray mudstone with drab orange mottling""","mudstone","gray","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","at least one ""partial skeleton"" plus some jaws and many teeth","taxonomic","bulk,selective quarrying,surface (float),sieve","UCMP","some genera","","","","","","Hyopsodus loomisi, Diacodexis sp, Palaeanodon sp. are listed by Strait 1999 but omitted by Strait 2001","vertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
"203975","occ","20034","","14764","Crocodylia indet.","unranked clade","38309","","Crocodylia","","unranked clade","36582","Danian","","66","61.66","Alroy 2007","2007","19636","Chordata","Reptilia","Crocodylia","","","","","","-108.699997","49.599998","","Pine Cree Park (RSM)","","","CA","Saskatchewan","","based on nearby landmark","1","","","small collection","""two miles northwest of Southfork village""\r\nfossils are from ""a small cutbank on the east side of the creek""","gplates","101","mid","-68.74","59.52","CA","","","","","","","","","","","","","","Ravenscrag","","","bed","","","Cypress Hills","3","","","","","","","fossils are from a 0.55 m bed\r\n\r\nMagnetostratigraphy suggests Ravenscrag Fm. is Danian in age (see Eberth et al. 2019)","""Sandstone, clayey, soft, rust-colored; numerous crushed shells"" and vertebrates","sandstone","ferruginous,shelly/skeletal,red","","argillaceous","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","field collection","","","3 specimens","","","1954","","","vertebrate","marine","","actively mobile","","","carnivore","","","","hydroxyapatite","","",""
